pos,step_decoded,conf_decoded,token_id,token_str
27,0,0.74609375,7806,Ġtruth
26,1,0.97265625,2531,If
29,2,0.96875,289,Ġan
30,3,0.99609375,6690,Ġactual
32,4,0.99609375,11,","
31,5,0.99609375,16740,Ġtone
28,6,0.99609375,1028,Ġhad
33,7,0.98046875,403,Ġit
34,8,0.51953125,1017,Ġwould
35,9,0.4609375,367,Ġbe
36,10,0.64453125,259,Ġa
38,11,0.76171875,11,","
40,12,0.388671875,11,","
41,13,0.90625,301,Ġand
37,14,0.2451171875,21942,Ġsteady
39,15,0.287109375,107554,Ġunwavering
44,16,0.296875,13,.
45,17,0.53125,963,ĠIt
46,18,0.80078125,1017,Ġwould
48,19,0.419921875,1029,Ġlike
47,20,0.76953125,5470,Ġsound
49,21,0.7734375,259,Ġa
51,22,0.6171875,11,","
50,23,0.396484375,17561,Ġgentle
43,24,0.291015625,76027,Ġwhisper
53,25,0.1943359375,8104,Ġvoice
54,26,0.3984375,11,","
52,27,0.2333984375,53948,Ġsoothing
42,28,0.1962890625,107554,Ġunwavering
56,29,0.1533203125,259,Ġa
55,30,0.71484375,391,Ġwith
57,31,0.1162109375,17968,Ġhint
58,32,0.99609375,300,Ġof
59,33,0.3203125,259,Ġa
61,34,0.27734375,11,","
60,35,0.39453125,8135,Ġsoft
64,36,0.26171875,13,.
65,37,0.54296875,468,ĠThe
67,38,0.921875,1017,Ġwould
66,39,0.87109375,16740,Ġtone
68,40,0.609375,367,Ġbe
63,41,0.427734375,2851,Ġhum
70,42,0.34375,11,","
72,43,0.5234375,11,","
73,44,0.94921875,301,Ġand
69,45,0.65625,18749,Ġcalm
62,46,0.26171875,78729,Ġresonant
71,47,0.1279296875,20525,Ġcomposed
75,48,0.5,11,","
77,49,0.408203125,624,Ġif
76,50,1.0,409,Ġas
78,51,0.26953125,12350,Ġspeaking
80,52,0.5078125,259,Ġa
79,53,0.73828125,546,Ġfrom
81,54,0.74609375,2242,Ġplace
82,55,0.9921875,300,Ġof
85,56,0.48046875,301,Ġand
87,57,0.7890625,13,.
89,58,0.71484375,198,Ċ
88,59,0.984375,198,Ċ
86,60,0.30859375,27825,Ġclarity
83,61,0.23046875,11605,Ġinner
84,62,0.87890625,8935,Ġpeace
74,63,0.1669921875,88312,Ġserene
90,64,0.33984375,678,The
92,65,0.7109375,1017,Ġwould
93,66,0.75390625,367,Ġbe
91,67,0.349609375,8104,Ġvoice
97,68,0.35546875,11,","
95,69,0.39453125,11,","
98,70,0.90234375,301,Ġand
100,71,0.37109375,11,","
101,72,0.50390625,391,Ġwith
102,73,0.6796875,259,Ġa
104,74,0.37109375,11,","
103,75,0.4140625,17561,Ġgentle
94,76,0.45703125,9167,Ġsmooth
96,77,0.1630859375,100727,Ġmelodic
99,78,0.185546875,94984,Ġharmonious
105,79,0.09619140625,53948,Ġsoothing
106,80,0.62109375,3604,Ġquality
107,81,0.8828125,378,Ġthat
108,82,0.56640625,1017,Ġwould
110,83,0.3125,259,Ġa
111,84,0.90625,5209,Ġsense
112,85,1.0,300,Ġof
114,86,0.88671875,301,Ġand
116,87,0.90234375,13,.
109,88,0.640625,84971,Ġevoke
119,89,0.5625,1017,Ġwould
117,90,0.984375,468,ĠThe
120,91,0.90625,367,Ġbe
118,92,0.72265625,16740,Ġtone
113,93,0.5234375,5835,Ġcomfort
115,94,0.46484375,115052,Ġreassurance
121,95,0.126953125,259,Ġa
123,96,0.640625,11,","
126,97,0.42578125,11,","
127,98,0.50390625,391,Ġwith
128,99,0.6796875,259,Ġa
130,100,0.5703125,11,","
133,101,0.546875,378,Ġthat
134,102,0.93359375,1017,Ġwould
125,103,0.5078125,76027,Ġwhisper
129,104,0.470703125,17561,Ġgentle
122,105,0.6875,8135,Ġsoft
132,106,0.412109375,3604,Ġquality
137,107,0.3046875,5209,Ġsense
136,108,0.984375,259,Ġa
135,109,0.58203125,18169,Ġconvey
131,110,0.28125,100727,Ġmelodic
124,111,0.2265625,17561,Ġgentle
138,112,1.0,300,Ġof
144,113,0.8203125,198,Ċ
140,114,0.9140625,301,Ġand
142,115,0.95703125,13,.
143,116,1.0,198,Ċ
145,117,0.390625,678,The
147,118,0.6796875,1017,Ġwould
148,119,0.8828125,367,Ġbe
152,120,0.478515625,11,","
150,121,0.60546875,11,","
153,122,0.96484375,301,Ġand
146,123,0.32421875,8104,Ġvoice
149,124,0.25390625,4217,Ġclear
151,125,0.17578125,19449,Ġprecise
139,126,0.1904296875,18749,Ġcalm
141,127,0.451171875,119317,Ġtranquility
155,128,0.7109375,11,","
156,129,0.82421875,391,Ġwith
157,130,0.9453125,259,Ġa
159,131,0.796875,11,","
163,132,0.84765625,1017,Ġwould
162,133,1.0,378,Ġthat
166,134,0.7890625,5209,Ġsense
167,135,1.0,300,Ġof
165,136,0.98828125,259,Ġa
164,137,0.90625,18169,Ġconvey
169,138,0.86328125,301,Ġand
161,139,0.76953125,3604,Ġquality
158,140,0.6328125,17561,Ġgentle
160,141,0.478515625,100727,Ġmelodic
168,142,0.1494140625,10731,Ġconfidence
154,143,0.2060546875,60640,Ġarticulate
175,144,0.875,367,Ġbe
171,145,1.0,13,.
174,146,1.0,1017,Ġwould
172,147,1.0,468,ĠThe
173,148,0.9765625,16740,Ġtone
176,149,0.71484375,259,Ġa
178,150,0.96484375,11,","
181,151,0.87890625,11,","
182,152,0.9921875,391,Ġwith
183,153,1.0,259,Ġa
185,154,0.984375,11,","
184,155,0.98046875,17561,Ġgentle
180,156,0.95703125,76027,Ġwhisper
177,157,0.8671875,8135,Ġsoft
179,158,0.9609375,17561,Ġgentle
170,159,0.234375,23831,Ġconviction
189,160,0.9921875,1017,Ġwould
188,161,1.0,378,Ġthat
187,162,0.9921875,3604,Ġquality
192,163,0.98046875,5209,Ġsense
191,164,1.0,259,Ġa
193,165,1.0,300,Ġof
199,166,0.90625,198,Ċ
197,167,0.9375,13,.
195,168,1.0,301,Ġand
198,169,1.0,198,Ċ
190,170,0.9296875,18169,Ġconvey
186,171,0.87890625,100727,Ġmelodic
200,172,0.54296875,678,The
201,173,0.490234375,8104,Ġvoice
194,174,0.251953125,27825,Ġclarity
196,175,0.5390625,5942,Ġunderstanding
202,176,0.94140625,1017,Ġwould
203,177,0.94140625,367,Ġbe
205,178,0.59765625,11,","
207,179,0.78515625,11,","
208,180,0.98828125,301,Ġand
210,181,0.86328125,11,","
212,182,0.96484375,259,Ġa
211,183,1.0,391,Ġwith
214,184,0.9921875,11,","
216,185,0.98828125,3604,Ġquality
217,186,0.99609375,378,Ġthat
213,187,0.98828125,17561,Ġgentle
215,188,0.796875,100727,Ġmelodic
204,189,0.1650390625,17561,Ġgentle
206,190,0.28125,53948,Ġsoothing
209,191,0.35546875,94984,Ġharmonious
218,192,1.0,1017,Ġwould
221,193,0.984375,5209,Ġsense
220,194,1.0,259,Ġa
222,195,1.0,300,Ġof
224,196,0.90625,301,Ġand
226,197,0.96875,13,.
230,198,0.9609375,367,Ġbe
227,199,1.0,468,ĠThe
229,200,1.0,1017,Ġwould
228,201,0.99609375,16740,Ġtone
231,202,0.98046875,259,Ġa
233,203,1.0,11,","
232,204,0.984375,8135,Ġsoft
219,205,0.5078125,84971,Ġevoke
223,206,0.421875,5835,Ġcomfort
225,207,0.87890625,115052,Ġreassurance
234,208,1.0,17561,Ġgentle
235,209,1.0,76027,Ġwhisper
236,210,1.0,11,","
237,211,1.0,391,Ġwith
238,212,1.0,259,Ġa
239,213,1.0,17561,Ġgentle
240,214,1.0,11,","
242,215,1.0,3604,Ġquality
243,216,1.0,378,Ġthat
244,217,1.0,1017,Ġwould
246,218,1.0,259,Ġa
247,219,1.0,5209,Ġsense
248,220,1.0,300,Ġof
245,221,0.99609375,18169,Ġconvey
241,222,0.98046875,100727,Ġmelodic
249,223,0.71484375,18749,Ġcalm
250,224,0.99609375,301,Ġand
252,225,1.0,13,.
251,226,0.9921875,119317,Ġtranquility
254,227,0.7421875,198,Ċ
253,228,1.0,198,Ċ
256,229,0.703125,11,","
255,230,0.984375,29538,Overall
257,231,0.89453125,268,Ġthe
260,232,0.94921875,7806,Ġtruth
259,233,1.0,300,Ġof
261,234,1.0,1017,Ġwould
262,235,0.99609375,367,Ġbe
263,236,0.83203125,259,Ġa
265,237,0.859375,11,","
264,238,0.81640625,17561,Ġgentle
258,239,0.77734375,16740,Ġtone
266,240,0.9140625,53948,Ġsoothing
279,241,0.9296875,13,.
280,242,1.0,126348,<|eot_id|>
281,243,1.0,126081,<|endoftext|>
277,244,0.91015625,301,Ġand
270,245,0.81640625,76027,Ġwhisper
267,246,1.0,11,","
268,247,1.0,301,Ġand
274,248,0.77734375,5209,Ġsense
273,249,1.0,259,Ġa
275,250,1.0,300,Ġof
271,251,0.75390625,11,","
272,252,0.73828125,391,Ġwith
269,253,0.63671875,94984,Ġharmonious
276,254,0.5078125,27825,Ġclarity
278,255,0.76171875,5942,Ġunderstanding
