pos,step_decoded,conf_decoded,token_id,token_str
58,0,0.57421875,5324,Ġeducation
56,1,0.98828125,1620,Ġtest
57,2,1.0,24763,-driven
55,3,0.9765625,11,","
59,4,0.95703125,1652,Ġsystem
54,5,0.984375,40831,Ġstandardized
53,6,0.97265625,32,A
61,7,0.55078125,268,Ġthe
63,8,0.828125,313,st
62,9,0.9921875,69052,Ġfaire
65,10,0.96484375,297,Ġto
64,11,0.98828125,1487,Ġway
60,12,0.921875,341,Ġis
66,13,0.91796875,5326,Ġmeasure
68,14,0.890625,3717,Ġacross
67,15,0.9921875,25321,Ġachievement
69,16,0.99609375,654,Ġall
70,17,1.0,3248,Ġstudents
71,18,0.474609375,13,.
72,19,0.451171875,3893,ĠBy
73,20,0.2578125,1661,Ġusing
74,21,0.361328125,259,Ġa
77,22,0.703125,300,Ġof
76,23,0.98046875,1117,Ġset
79,24,0.54296875,301,Ġand
81,25,0.60546875,11,","
80,26,0.443359375,30385,Ġassessments
83,27,0.443359375,560,Ġcan
82,28,0.455078125,438,Ġwe
84,29,0.76953125,5034,Ġensure
75,30,0.384765625,3320,Ġcommon
78,31,0.330078125,9616,Ġstandards
85,32,0.98828125,378,Ġthat
87,33,0.42578125,3248,Ġstudents
86,34,0.98828125,654,Ġall
88,35,0.71875,449,Ġare
89,36,0.71875,5456,Ġheld
92,37,0.8984375,1853,Ġsame
91,38,1.0,268,Ġthe
90,39,0.99609375,297,Ġto
93,40,0.7109375,2234,Ġlevel
94,41,0.87109375,300,Ġof
96,42,0.3515625,13,.
97,43,0.87890625,1077,ĠThis
95,44,0.26953125,4178,Ġperformance
100,45,0.1435546875,297,Ġto
98,46,0.59375,5510,Ġallows
99,47,0.65234375,611,Ġus
101,48,0.361328125,10933,Ġcompare
103,49,0.34375,3717,Ġacross
104,50,0.8515625,1733,Ġdifferent
105,51,0.90625,8369,Ġschools
108,52,0.62109375,11,","
107,53,0.70703125,28616,Ġdistricts
109,54,0.74609375,301,Ġand
106,55,0.921875,11,","
110,56,0.5859375,1501,Ġeven
111,57,0.57421875,5502,Ġstates
112,58,0.5546875,11,","
102,59,0.40625,2948,Ġresults
116,60,0.40625,7432,Ġpicture
114,61,0.9453125,259,Ġa
113,62,0.93359375,6467,Ġproviding
115,63,0.55859375,4217,Ġclear
117,64,1.0,300,Ġof
118,65,0.2421875,268,Ġthe
119,66,0.439453125,7071,Ġoverall
121,67,0.62890625,300,Ġof
120,68,0.6796875,18865,Ġeffectiveness
124,69,0.703125,1652,Ġsystem
125,70,0.98046875,13,.
123,71,0.8671875,5324,Ġeducation
122,72,0.77734375,268,Ġthe
126,73,0.61328125,198,Ċ
127,74,0.9609375,198,Ċ
129,75,0.90234375,11,","
128,76,0.96484375,10248,However
130,77,0.26171875,501,Ġthis
131,78,0.390625,1471,Ġvery
132,79,0.27734375,7103,Ġargument
133,80,0.322265625,560,Ġcan
136,81,0.73828125,2864,Ġagainst
135,82,0.98828125,7204,Ġturned
134,83,1.0,367,Ġbe
137,84,0.99609375,5555,Ġitself
138,85,0.474609375,527,Ġby
146,86,0.65234375,13391,Ġreward
145,87,1.0,301,Ġand
147,88,1.0,84529,Ġconformity
148,89,0.99609375,13,.
144,90,0.9921875,35038,Ġcuriosity
143,91,0.98828125,11863,Ġkill
142,92,0.9765625,4519,Ġsystems
141,93,0.9765625,1435,Ġsuch
140,94,0.70703125,1099,Ġhow
139,95,0.435546875,9013,Ġshowing
149,96,0.3125,14414,ĠStandard
150,97,0.9921875,1678,ized
151,98,0.70703125,8290,Ġtests
152,99,0.625,3327,Ġoften
154,100,0.6015625,366,Ġon
153,101,0.9375,3476,Ġfocus
155,102,0.275390625,2918,Ġspecific
157,103,0.326171875,301,Ġand
159,104,0.4453125,11,","
156,105,0.42578125,5519,Ġskills
158,106,0.734375,4848,Ġknowledge
160,107,0.37890625,818,Ġwhich
