pos,step_decoded,conf_decoded,token_id,token_str
25,0,0.5,678,The
26,1,0.376953125,3766,Ġanswer
27,2,0.765625,341,Ġis
28,3,0.4140625,25,:
29,4,0.2060546875,477,"Ġ"""
31,5,0.265625,1904,"."""
32,6,0.51171875,198,Ċ
30,7,0.173828125,60657,nothing
33,8,0.99609375,198,Ċ
34,9,0.353515625,678,The
36,10,0.37109375,341,Ġis
37,11,0.58984375,378,Ġthat
38,12,0.55078125,624,Ġif
35,13,0.51953125,4336,Ġidea
39,14,0.41796875,268,Ġthe
40,15,0.86328125,1307,Ġtwo
41,16,0.98828125,79297,Ġphilosophers
44,17,0.59375,366,Ġon
45,18,0.91796875,4246,Ġeverything
46,19,0.9765625,11,","
42,20,0.75390625,561,Ġhave
43,21,0.99609375,9618,Ġagreed
47,22,0.65234375,1310,Ġthen
48,23,0.77734375,947,Ġthere
49,24,0.58203125,341,Ġis
50,25,0.59375,1037,Ġno
53,26,0.578125,64223,Ġdisagreement
51,27,0.578125,3284,Ġroom
52,28,1.0,352,Ġfor
54,29,0.55078125,453,Ġor
56,30,0.6171875,13,.
55,31,0.7109375,13102,Ġconflict
58,32,0.578125,11,","
57,33,0.8828125,7975,ĠTherefore
59,34,0.58984375,947,Ġthere
60,35,0.765625,341,Ġis
61,36,0.67578125,4956,Ġnothing
62,37,0.83203125,297,Ġto
64,38,0.85546875,268,Ġthe
63,39,0.9921875,3085,Ġbreak
65,40,0.9921875,8935,Ġpeace
66,41,0.8203125,13,.
67,42,0.58203125,1077,ĠThis
68,43,0.8046875,341,Ġis
69,44,0.9453125,259,Ġa
70,45,0.83203125,11792,Ġclassic
72,46,0.6796875,300,Ġof
71,47,0.9921875,2890,Ġexample
73,48,0.9375,259,Ġa
74,49,0.5703125,53751,Ġparadox
75,50,0.376953125,815,ical
76,51,0.46484375,498,Ġr
77,52,1.0,5002,iddle
78,53,0.4296875,378,Ġthat
79,54,0.5546875,7649,Ġchallenges
80,55,0.921875,869,Ġour
88,56,0.98046875,126081,<|endoftext|>
87,57,0.99609375,126348,<|eot_id|>
86,58,1.0,13,.
84,59,0.9375,301,Ġand
82,60,0.87890625,300,Ġof
81,61,0.98828125,5942,Ġunderstanding
83,62,0.44921875,2295,Ġlanguage
85,63,0.67578125,15712,Ġlogic
