pos,step_decoded,conf_decoded,token_id,token_str
38,0,0.19140625,846,In
39,1,0.71484375,811,Ġmy
41,2,0.7265625,11,","
42,3,0.71484375,331,ĠI
40,4,0.49609375,7313,Ġdream
45,5,0.330078125,71864,Ġunravel
44,6,0.72265625,297,Ġto
43,7,0.41796875,21294,Ġattempted
46,8,0.91796875,268,Ġthe
48,9,0.765625,300,Ġof
49,10,0.9609375,811,Ġmy
50,11,0.7890625,1645,Ġown
51,12,0.65625,3714,Ġmind
52,13,0.494140625,13,.
47,14,0.44921875,55307,Ġmysteries
53,15,0.18359375,3428,ĠMy
54,16,0.58984375,8960,Ġthoughts
55,17,0.2578125,929,Ġwere
56,18,0.212890625,1029,Ġlike
57,19,0.275390625,259,Ġa
58,20,0.447265625,4834,Ġcomplex
60,21,0.55859375,11,","
59,22,0.8359375,8947,Ġequation
61,23,0.296875,391,Ġwith
62,24,0.328125,8913,Ġvariables
63,25,0.8125,16443,Ġrepresenting
65,26,0.484375,17255,Ġemotions
66,27,0.85546875,301,Ġand
68,28,0.89453125,13,.
64,29,0.6171875,811,Ġmy
67,30,0.431640625,16919,Ġmemories
69,31,0.279296875,331,ĠI
71,32,0.181640625,297,Ġto
70,33,0.396484375,6830,Ġtried
73,34,0.28515625,268,Ġthe
72,35,0.53125,1491,Ġfind
74,36,0.6171875,4819,Ġsolution
75,37,0.83203125,11,","
76,38,0.9296875,731,Ġbut
77,39,0.45703125,403,Ġit
79,40,0.56640625,70746,Ġelusive
80,41,0.890625,13,.
78,42,0.5546875,15533,Ġremained
81,43,0.296875,1077,ĠThis
82,44,0.392578125,7313,Ġdream
84,45,0.52734375,696,Ġme
83,46,0.546875,29902,Ġreminds
85,47,0.5546875,378,Ġthat
86,48,0.3359375,869,Ġour
87,49,0.8984375,20567,Ġminds
88,50,0.765625,449,Ġare
90,51,0.2470703125,301,Ġand
89,52,0.765625,50262,Ġintricate
92,53,0.51171875,11,","
91,54,0.484375,106737,Ġmultifaceted
93,55,0.265625,1670,Ġmuch
94,56,1.0,1029,Ġlike
101,57,1.0,126081,<|endoftext|>
100,58,0.9921875,126348,<|eot_id|>
99,59,0.99609375,13,.
95,60,0.95703125,268,Ġthe
97,61,0.92578125,438,Ġwe
96,62,0.87890625,13865,Ġequations
98,63,0.6328125,2895,Ġstudy
