pos,step_decoded,conf_decoded,token_id,token_str
39,0,0.400390625,10277,Ġsounds
40,1,0.91796875,1029,Ġlike
41,2,0.63671875,259,Ġa
38,3,0.84765625,5638,That
42,4,0.8515625,23452,Ġfascinating
43,5,0.30859375,301,Ġand
45,6,0.296875,5997,Ġconcept
44,7,0.310546875,93036,Ġfuturistic
46,8,0.51171875,13,.
49,9,0.35546875,300,Ġof
47,10,0.98828125,468,ĠThe
48,11,0.91796875,4336,Ġidea
50,12,0.3046875,14302,Ġquantum
51,13,0.703125,18568,Ġcomputers
52,14,0.58984375,1775,Ġbeing
53,15,0.486328125,13693,Ġintegrated
54,16,0.82421875,1119,Ġinto
56,17,0.44140625,91622,Ġbooths
55,18,0.99609375,59056,Ġconfession
57,19,0.421875,297,Ġto
58,20,0.51953125,2244,Ġallow
59,21,0.51171875,352,Ġfor
60,22,0.490234375,23810,Ġforgiveness
61,23,0.98046875,3717,Ġacross
62,24,0.71484375,85283,Ġtimelines
63,25,0.75390625,341,Ġis
65,26,0.70703125,40086,Ġintriguing
66,27,0.84375,13,.
64,28,0.68359375,4729,Ġquite
67,29,0.62890625,963,ĠIt
68,30,0.267578125,25041,Ġraises
69,31,0.365234375,4294,Ġquestions
70,32,0.99609375,866,Ġabout
71,33,0.90234375,268,Ġthe
72,34,0.796875,6132,Ġnature
73,35,0.99609375,300,Ġof
75,36,0.6328125,11,","
77,37,0.796875,11,","
74,38,0.66015625,898,Ġtime
76,39,0.44140625,50296,Ġmorality
78,40,0.99609375,301,Ġand
79,41,0.82421875,268,Ġthe
81,42,0.6953125,300,Ġof
83,43,0.390625,13,.
85,44,0.53125,362,Ġyou
82,45,0.396484375,4512,Ġtechnology
80,46,0.279296875,19823,Ġpossibilities
84,47,0.2451171875,3488,ĠDo
86,48,0.46875,561,Ġhave
87,49,0.81640625,897,Ġany
88,50,0.78515625,2918,Ġspecific
90,51,0.796875,453,Ġor
89,52,0.7109375,4294,Ġquestions
91,53,0.47265625,21764,Ġscenarios
92,54,0.55859375,362,Ġyou
93,55,0.91015625,5800,'d
94,56,1.0,1029,Ġlike
95,57,0.98046875,297,Ġto
96,58,0.96875,9070,Ġexplore
101,59,0.87890625,126081,<|endoftext|>
100,60,0.92578125,126348,<|eot_id|>
99,61,1.0,30,?
98,62,0.455078125,3968,Ġfurther
97,63,0.91796875,501,Ġthis
