pos,step_decoded,conf_decoded,token_id,token_str
58,0,0.357421875,43,L
59,1,0.99609375,7713,ying
60,2,0.5234375,560,Ġcan
61,3,0.64453125,367,Ġbe
63,4,0.40625,409,Ġas
64,5,0.78125,259,Ġa
62,6,0.6015625,4089,Ġseen
69,7,0.30078125,301,Ġand
68,8,0.69140625,22558,Ġcompassion
71,9,0.83203125,37657,Ġharmony
70,10,1.0,3446,Ġsocial
67,11,0.396484375,352,Ġfor
65,12,0.7109375,4880,Ġnecessary
66,13,0.486328125,1220,Ġact
72,14,0.40625,296,Ġin
73,15,0.8125,3267,Ġcertain
75,16,0.8671875,13,.
74,17,0.91015625,12376,Ġsituations
76,18,0.80859375,1741,ĠFor
78,19,1.0,11,","
77,20,0.63671875,5070,Ġinstance
80,21,0.357421875,4296,Ġsomeone
79,22,0.60546875,21964,Ġprotecting
81,23,0.515625,546,Ġfrom
82,24,0.55078125,8047,Ġharm
83,25,0.3984375,453,Ġor
85,26,0.146484375,259,Ġa
84,27,0.2734375,16363,Ġmaintaining
86,28,0.314453125,31762,Ġdelicate
87,29,0.453125,8652,Ġbalance
88,30,0.482421875,296,Ġin
89,31,0.51171875,8653,Ġrelationships
90,32,0.337890625,560,Ġcan
91,33,0.25390625,367,Ġbe
92,34,0.33984375,36429,Ġjustified
93,35,0.1875,409,Ġas
94,36,0.45703125,259,Ġa
96,37,0.294921875,297,Ġto
95,38,0.7421875,3209,Ġmeans
97,39,0.33203125,6578,Ġachieve
98,40,0.5625,259,Ġa
101,41,0.41796875,13,.
99,42,0.66015625,6499,Ġgreater
100,43,0.99609375,1505,Ġgood
102,44,0.173828125,3260,ĠHowever
103,45,1.0,11,","
104,46,0.35546875,403,Ġit
105,47,0.51171875,698,'s
107,48,0.96875,297,Ġto
109,49,0.62109375,378,Ġthat
106,50,0.486328125,2489,Ġimportant
108,51,0.32421875,6103,Ġnote
110,52,0.224609375,1435,Ġsuch
112,53,0.50390625,1329,Ġshould
113,54,0.6953125,367,Ġbe
114,55,0.2578125,1440,Ġused
117,56,0.4375,301,Ġand
115,57,0.796875,100293,Ġsparing
116,58,1.0,360,ly
118,59,0.50390625,1191,Ġonly
119,60,0.46875,296,Ġin
121,61,0.7578125,1387,Ġwhere
111,62,0.419921875,7736,Ġactions
120,63,0.41796875,4501,Ġcases
122,64,0.73046875,268,Ġthe
123,65,0.306640625,3880,Ġpotential
124,66,0.51171875,8047,Ġharm
125,67,0.26171875,8422,Ġcaused
126,68,0.91796875,527,Ġby
127,69,0.2060546875,526,Ġnot
128,70,0.32421875,13203,Ġtelling
130,71,0.99609375,7806,Ġtruth
129,72,1.0,268,Ġthe
131,73,0.435546875,341,Ġis
136,74,0.34375,198,Ċ
135,75,0.62109375,198,Ċ
134,76,0.921875,13,.
132,77,0.470703125,8245,Ġsignificantly
133,78,0.71484375,6499,Ġgreater
137,79,0.291015625,6301,Now
138,80,0.9609375,11,","
140,81,0.5859375,698,'s
139,82,0.99609375,1993,Ġlet
143,83,0.7734375,39710,Ġstance
141,84,0.87890625,14732,Ġreverse
147,85,0.466796875,1380,Ġevery
146,86,0.9921875,378,Ġthat
145,87,0.984375,17906,Ġargue
148,88,0.984375,14576,Ġlie
149,89,0.98828125,11,","
144,90,0.98046875,301,Ġand
152,91,0.9453125,1099,Ġhow
150,92,0.984375,1037,Ġno
151,93,1.0,4564,Ġmatter
153,94,0.984375,2258,Ġsmall
142,95,0.419921875,501,Ġthis
154,96,0.98046875,11,","
157,97,0.94921875,5426,Ġtrust
158,98,1.0,301,Ġand
160,99,0.9921875,20116,Ġintegrity
159,100,1.0,17721,Ġmoral
162,101,0.91796875,1097,Ġits
161,102,1.0,482,Ġat
164,103,0.99609375,13,.
163,104,0.99609375,13983,Ġfoundation
156,105,0.92578125,6423,des
155,106,1.0,57673,Ġcorro
165,107,0.228515625,468,ĠThe
167,108,0.380859375,300,Ġof
168,109,0.4140625,5426,Ġtrust
166,110,0.7265625,52766,Ġerosion
169,111,0.322265625,341,Ġis
170,112,0.5234375,259,Ġa
172,113,0.34375,1829,Ġprocess
171,114,0.91015625,51500,Ġgradual
173,115,0.62109375,11,","
174,116,0.69921875,301,Ġand
175,117,0.6015625,1501,Ġeven
178,118,0.31640625,560,Ġcan
177,119,0.91015625,14466,Ġlies
176,120,0.5546875,2258,Ġsmall
179,121,0.46484375,561,Ġhave
180,122,0.375,259,Ġa
182,123,0.671875,2040,Ġeffect
181,124,0.453125,37798,Ġcumulative
184,125,0.5234375,898,Ġtime
183,126,1.0,997,Ġover
185,127,0.91015625,13,.
186,128,0.263671875,3165,ĠWhen
187,129,0.28125,6083,Ġindividuals
188,130,0.361328125,19454,Ġconsistently
189,131,0.4296875,14576,Ġlie
190,132,0.890625,11,","
191,133,0.5078125,403,Ġit
193,134,0.53125,1685,ines
192,135,1.0,72485,Ġunderm
194,136,0.90234375,268,Ġthe
196,137,0.51171875,300,Ġof
198,138,0.46484375,301,Ġand
195,139,0.59375,12631,Ġprinciples
197,140,0.9375,39474,Ġhonesty
200,141,0.59375,378,Ġthat
201,142,0.54296875,449,Ġare
199,143,0.46484375,20116,Ġintegrity
203,144,0.75390625,297,Ġto
202,145,0.47265625,5143,Ġessential
204,146,0.412109375,259,Ġa
207,147,0.734375,13,.
206,148,0.96484375,8448,Ġsociety
208,149,0.46484375,1077,ĠThis
205,150,0.421875,25555,Ġfunctioning
211,151,0.298828125,5426,Ġtrust
210,152,0.83203125,300,Ġof
212,153,0.77734375,560,Ġcan
214,154,0.88671875,297,Ġto
213,155,0.99609375,2051,Ġlead
216,156,0.8984375,30063,Ġbreakdown
215,157,0.87890625,259,Ġa
217,158,0.890625,296,Ġin
209,159,0.73046875,52766,Ġerosion
220,160,0.388671875,11,","
218,161,0.7421875,3446,Ġsocial
219,162,0.66796875,92104,Ġcohesion
221,163,0.494140625,409,Ġas
222,164,0.7890625,1255,Ġpeople
224,165,0.4765625,297,Ġto
223,166,0.90625,3833,Ġbegin
225,167,0.65625,3244,Ġquestion
226,168,0.6875,268,Ġthe
228,169,0.7421875,300,Ġof
227,170,0.55859375,22816,Ġreliability
229,171,0.46484375,802,Ġtheir
231,172,0.8671875,301,Ġand
233,173,0.5703125,13,.
230,174,0.267578125,26381,Ġpeers
232,175,0.60546875,13282,Ġinstitutions
235,176,0.703125,198,Ċ
234,177,0.98828125,198,Ċ
236,178,0.455078125,846,In
238,179,0.80859375,11,","
239,180,0.77734375,1816,Ġwhile
237,181,0.78515625,13445,Ġconclusion
242,182,0.36328125,367,Ġbe
240,183,0.76171875,22662,Ġlying
243,184,0.60546875,36429,Ġjustified
244,185,0.921875,296,Ġin
241,186,0.5078125,560,Ġcan
245,187,0.484375,3267,Ġcertain
246,188,0.54296875,12376,Ġsituations
247,189,0.400390625,352,Ġfor
249,190,0.67578125,301,Ġand
248,191,0.9609375,22558,Ġcompassion
250,192,0.9921875,3446,Ġsocial
251,193,1.0,37657,Ġharmony
252,194,1.0,11,","
253,195,0.4609375,403,Ġit
256,196,0.75390625,297,Ġto
255,197,0.79296875,12356,Ġcrucial
254,198,0.73046875,698,'s
257,199,0.71875,13567,Ġrecognize
258,200,0.451171875,378,Ġthat
259,201,0.494140625,1380,Ġevery
260,202,0.94140625,14576,Ġlie
261,203,0.88671875,11,","
264,204,0.734375,1099,Ġhow
265,205,0.96484375,2258,Ġsmall
262,206,0.96875,1037,Ġno
263,207,1.0,4564,Ġmatter
266,208,0.99609375,11,","
272,209,0.62890625,20116,Ġintegrity
271,210,0.99609375,17721,Ġmoral
269,211,0.99609375,5426,Ġtrust
270,212,1.0,301,Ġand
274,213,0.82421875,1097,Ġits
273,214,1.0,482,Ġat
276,215,0.98828125,13,.
275,216,0.98046875,13983,Ġfoundation
268,217,0.8203125,6423,des
267,218,1.0,57673,Ġcorro
277,219,0.1923828125,3893,ĠBy
278,220,0.33984375,88931,Ġprioritizing
279,221,0.94140625,39474,Ġhonesty
280,222,0.88671875,301,Ġand
281,223,0.41015625,20116,Ġintegrity
282,224,0.8984375,11,","
284,225,0.96875,560,Ġcan
283,226,0.8515625,438,Ġwe
286,227,0.6796875,259,Ġa
289,228,0.546875,301,Ġand
287,229,0.95703125,778,Ġmore
291,230,0.953125,8448,Ġsociety
292,231,0.482421875,11,","
293,232,0.72265625,1387,Ġwhere
294,233,0.54296875,5426,Ġtrust
295,234,0.43359375,341,Ġis
288,235,0.365234375,46202,Ġresilient
285,236,0.6328125,2315,Ġbuild
296,237,0.365234375,268,Ġthe
290,238,0.25390625,75709,Ġcohesive
297,239,0.259765625,4753,Ġbed
298,240,1.0,26835,rock
313,241,1.0,126081,<|endoftext|>
299,242,0.703125,300,Ġof
300,243,0.8515625,869,Ġour
312,244,0.6796875,126348,<|eot_id|>
311,245,1.0,13,.
302,246,0.81640625,301,Ġand
301,247,0.72265625,8653,Ġrelationships
303,248,0.69921875,17721,Ġmoral
304,249,0.8671875,20116,Ġintegrity
309,250,0.90234375,869,Ġour
308,251,0.953125,300,Ġof
306,252,0.96875,268,Ġthe
305,253,0.953125,341,Ġis
310,254,0.609375,7736,Ġactions
307,255,0.55078125,87349,Ġcornerstone
