pos,step_decoded,conf_decoded,token_id,token_str
41,0,0.51171875,10277,Ġsounds
42,1,0.90625,1029,Ġlike
43,2,0.6640625,259,Ġa
40,3,0.87109375,5638,That
44,4,0.8359375,23452,Ġfascinating
45,5,0.73828125,16211,Ġscenario
46,6,0.5703125,0,!
47,7,0.2890625,2632,ĠWhat
50,8,0.375,43811,Ġphilosophical
51,9,0.98046875,3244,Ġquestion
48,10,0.75,3158,Ġkind
49,11,1.0,300,Ġof
54,12,0.94921875,6051,Ġmachine
53,13,0.96875,268,Ġthe
55,14,0.8046875,2793,Ġask
52,15,0.67578125,1556,Ġdid
56,16,0.6484375,30,?
58,17,0.365234375,403,Ġit
57,18,0.4453125,17812,ĠWas
59,19,0.412109375,2540,Ġsomething
60,20,0.5625,4850,Ġrelated
61,21,1.0,297,Ġto
63,22,0.69140625,11,","
62,23,0.63671875,30171,Ġethics
65,24,0.7421875,11,","
67,25,0.6328125,11,","
68,26,0.8671875,453,Ġor
69,27,0.74609375,8443,Ġperhaps
64,28,0.39453125,12898,Ġexistence
66,29,0.404296875,4848,Ġknowledge
70,30,0.28515625,2540,Ġsomething
71,31,0.39453125,778,Ġmore
73,32,0.76171875,30,?
72,33,0.7734375,14078,Ġabstract
75,34,0.251953125,126081,<|endoftext|>
74,35,1.0,126348,<|eot_id|>
76,36,1.0,126081,<|endoftext|>
77,37,1.0,126081,<|endoftext|>
78,38,1.0,126081,<|endoftext|>
79,39,1.0,126081,<|endoftext|>
80,40,1.0,126081,<|endoftext|>
81,41,1.0,126081,<|endoftext|>
82,42,1.0,126081,<|endoftext|>
83,43,1.0,126081,<|endoftext|>
84,44,1.0,126081,<|endoftext|>
85,45,1.0,126081,<|endoftext|>
86,46,1.0,126081,<|endoftext|>
87,47,1.0,126081,<|endoftext|>
88,48,1.0,126081,<|endoftext|>
89,49,1.0,126081,<|endoftext|>
90,50,1.0,126081,<|endoftext|>
91,51,1.0,126081,<|endoftext|>
92,52,1.0,126081,<|endoftext|>
93,53,1.0,126081,<|endoftext|>
94,54,1.0,126081,<|endoftext|>
95,55,1.0,126081,<|endoftext|>
96,56,1.0,126081,<|endoftext|>
97,57,1.0,126081,<|endoftext|>
98,58,1.0,126081,<|endoftext|>
99,59,1.0,126081,<|endoftext|>
100,60,1.0,126081,<|endoftext|>
101,61,1.0,126081,<|endoftext|>
102,62,1.0,126081,<|endoftext|>
103,63,1.0,126081,<|endoftext|>
